effective_date,signal_date,risk_on,leaders,turnover,transaction_cost,weights
2024-03-18,2024-03-15,True,"SMIN,XHB,FDN,IGV,XLK",0.4,0.0002,"{'FDN': 0.2, 'IGV': 0.2, 'SGOV': 0.0, 'SMIN': 0.2, 'XHB': 0.2, 'XLK': 0.2}"
2024-03-25,2024-03-22,True,"SMIN,XHB,IGV,XLK,FDN",0.0,0.0,"{'FDN': 0.2, 'IGV': 0.2, 'SGOV': 0.0, 'SMIN': 0.2, 'XHB': 0.2, 'XLK': 0.2}"
2024-04-01,2024-03-29,True,"SMIN,XHB,FDN,XLK,IXN",0.2,0.0001,"{'FDN': 0.2, 'IXN': 0.2, 'SGOV': 0.0, 'SMIN': 0.2, 'XHB': 0.2, 'XLK': 0.2}"
2024-04-08,2024-04-05,True,"XHB,SMIN,IXN,PAVE,XLK",0.2,0.0001,"{'IXN': 0.2, 'PAVE': 0.2, 'SGOV': 0.0, 'SMIN': 0.2, 'XHB': 0.2, 'XLK': 0.2}"
2024-04-15,2024-04-12,True,"XHB,XLK,FDN,IXN,IGV",0.4,0.0002,"{'FDN': 0.2, 'IGV': 0.2, 'IXN': 0.2, 'SGOV': 0.0, 'XHB': 0.2, 'XLK': 0.2}"
2024-04-22,2024-04-19,True,"FDN,XHB,IXN,XLK,QTEC",0.2,0.0001,"{'FDN': 0.2, 'IXN': 0.2, 'QTEC': 0.2, 'SGOV': 0.0, 'XHB': 0.2, 'XLK': 0.2}"
2024-04-29,2024-04-26,True,"FDN,QTEC,SMH,XLK,XHB",0.2,0.0001,"{'FDN': 0.2, 'QTEC': 0.2, 'SGOV': 0.0, 'SMH': 0.2, 'XHB': 0.2, 'XLK': 0.2}"
2024-05-06,2024-05-03,True,"FDN,QTEC,IGV,SMIN,SMH",0.4,0.0002,"{'FDN': 0.2, 'IGV': 0.2, 'QTEC': 0.2, 'SGOV': 0.0, 'SMH': 0.2, 'SMIN': 0.2}"
2024-05-13,2024-05-10,True,"FDN,SMIN,XLK,PAVE,IXN",0.6000000000000001,0.00030000000000000003,"{'FDN': 0.2, 'IXN': 0.2, 'PAVE': 0.2, 'SGOV': 0.0, 'SMIN': 0.2, 'XLK': 0.2}"
2024-05-20,2024-05-17,True,"SMIN,FDN,PAVE,KCE,TMFC",0.4,0.0002,"{'FDN': 0.2, 'KCE': 0.2, 'PAVE': 0.2, 'SGOV': 0.0, 'SMIN': 0.2, 'TMFC': 0.2}"
2024-05-28,2024-05-24,True,"SMIN,SMH,KCE,FDN,PAVE",0.2,0.0001,"{'FDN': 0.2, 'KCE': 0.2, 'PAVE': 0.2, 'SGOV': 0.0, 'SMH': 0.2, 'SMIN': 0.2}"
2024-06-03,2024-05-31,True,"SMIN,AMLP,PAVE,XME,XHB",0.6000000000000001,0.00030000000000000003,"{'AMLP': 0.2, 'PAVE': 0.2, 'SGOV': 0.0, 'SMIN': 0.2, 'XHB': 0.2, 'XME': 0.2}"
2024-06-10,2024-06-07,True,"SMIN,AMLP,SMH,FDN,TMFC",0.6000000000000001,0.00030000000000000003,"{'AMLP': 0.2, 'FDN': 0.2, 'SGOV': 0.0, 'SMH': 0.2, 'SMIN': 0.2, 'TMFC': 0.2}"
2024-06-17,2024-06-14,True,"SMIN,AMLP,SMH,PAVE,XHB",0.4,0.0002,"{'AMLP': 0.2, 'PAVE': 0.2, 'SGOV': 0.0, 'SMH': 0.2, 'SMIN': 0.2, 'XHB': 0.2}"
